index,ult_USD,ult_BRL,atual_USD,atual_BRL,currency_cod
0,0.0762288123369216,0.4002012647688389,,,BWP
1,0.198,1.0,0.198,1.0,BRL
2,1.0,5.06,1.0,5.06,USD
3,0.272,1.38,0.272,1.38,AED
4,0.0122,0.0616,0.0122,0.0616,INR
5,6.7e-05,0.000339,6.7e-05,0.000339,IDR
6,0.62,3.15,0.62,3.15,NZD
7,1.24,6.29,1.24,6.29,GBP
8,0.2747252583503723,1.390109807252884,0.2747252583503723,1.390109807252884,QAR
9,0.0545,0.276,0.0545,0.276,ZAR
10,0.0031600566580891,0.016590297454968,,,LKR
11,0.0518,0.262,0.0518,0.262,TRY
